f0crearLog|crearLog| | | |2013-05-10T14:54:00.0000000Z
f0t1|entregarbata| | | |2013-05-10T14:54:50.0000000Z
f0t2|bloquearpoyata| | | |2013-05-10T15:04:00.0000000Z
f0t3|leerfundamentos| | | |2013-05-10T15:10:03.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:10:39.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:10:42.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:10:42.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:10:44.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:10:44.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:10:45.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:10:45.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:10:47.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:10:54.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:10:54.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:10:54.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:10:56.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:10:56.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:10:57.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:10:59.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:10:59.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:11:00.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:11:00.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:11:00.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:11:00.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:11:19.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:11:25.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:11:27.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:11:28.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:11:28.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:11:47.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:11:51.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:11:55.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:11:57.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:12:03.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:12:04.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:12:04.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:12:08.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:12:08.0000000Z
f0t4|leerprotocolo| | | |2013-05-10T15:12:17.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:12:45.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:12:47.0000000Z
f0t5|releerfundamentos| | | |2013-05-10T15:12:54.0000000Z
f0t6|releerprotocolo| | | |2013-05-10T15:24:57.0000000Z
f0t7|lavarsemanos| | | |2013-05-10T15:30:17.0000000Z
f0t8|entregarguantes| | | |2013-05-10T15:30:50.0000000Z
f1t1|entregarvaso| | | |2013-05-10T15:36:54.0000000Z
f1t3|releerprotocolo| | | |2013-05-10T15:40:42.0000000Z
f1t4|soltarvasofregadero| | | |2013-05-10T15:42:32.0000000Z
f1t5|bloquearfregadero| | | |2013-05-10T15:42:37.0000000Z
f1t6|llenarvasoconagua| | | |2013-05-10T15:42:38.0000000Z
f1t7|desbloquearfregadero| | | |2013-05-10T15:42:55.0000000Z
f1t8|soltarvasoagitador| | | |2013-05-10T15:43:26.0000000Z
f1t9|bloquearagitador| | | |2013-05-10T15:43:29.0000000Z
f1t10|bloquearphmetro| | | |2013-05-10T15:43:30.0000000Z
f1t11|encenderagitador| | | |2013-05-10T15:43:47.0000000Z
f1t34|entregarbandeja| | | |2013-05-10T15:44:50.0000000Z
f1t20|apagaragitador| | f1t12-f1t13-f1t14-f1t16| |2013-05-10T15:45:40.0000000Z
f1t14|ajustarph| | f1t12-f1t13| |2013-05-10T15:45:56.0000000Z
f1t15|desbloquearphmetro| | | |2013-05-10T15:45:56.0000000Z
f1t21|entregarbotella| | | |2013-05-10T15:46:41.0000000Z
