f0crearLog|crearLog| | | |2013-05-09T14:55:19.0000000Z
f0t1|entregarbata| | | |2013-05-09T14:56:43.0000000Z
f0t2|bloquearpoyata| | | |2013-05-09T15:00:55.0000000Z
f0t3|leerfundamentos| | | |2013-05-09T15:02:49.0000000Z
f0t4|leerprotocolo| | | |2013-05-09T15:03:03.0000000Z
f0t6|releerprotocolo| | | |2013-05-09T15:03:27.0000000Z
f0t6|releerprotocolo| | | |2013-05-09T15:03:31.0000000Z
f0t6|releerprotocolo| | | |2013-05-09T15:03:35.0000000Z
f0t6|releerprotocolo| | | |2013-05-09T15:04:14.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:04:20.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:04:46.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:04:51.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:04:57.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:04:59.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:04:59.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:04:59.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:04:59.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:05:05.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:05:16.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:05:20.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:05:21.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:05:22.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:05:22.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:05:23.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:05:26.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:05:26.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:05:26.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:05:26.0000000Z
f0t6|releerprotocolo| | | |2013-05-09T15:05:29.0000000Z
f0t6|releerprotocolo| | | |2013-05-09T15:05:30.0000000Z
f0t6|releerprotocolo| | | |2013-05-09T15:05:30.0000000Z
f0t6|releerprotocolo| | | |2013-05-09T15:05:31.0000000Z
f0t6|releerprotocolo| | | |2013-05-09T15:05:33.0000000Z
f0t6|releerprotocolo| | | |2013-05-09T15:05:39.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:05:40.0000000Z
f0t6|releerprotocolo| | | |2013-05-09T15:05:42.0000000Z
f0t6|releerprotocolo| | | |2013-05-09T15:05:43.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:05:55.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:05:56.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:05:56.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:05:56.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:05:57.0000000Z
f0t6|releerprotocolo| | | |2013-05-09T15:06:42.0000000Z
f0t6|releerprotocolo| | | |2013-05-09T15:06:42.0000000Z
f0t5|releerfundamentos| | | |2013-05-09T15:06:42.0000000Z
f0t6|releerprotocolo| | | |2013-05-09T15:07:04.0000000Z
f0t7|lavarsemanos| | | |2013-05-09T15:10:41.0000000Z
f0t8|entregarguantes| | | |2013-05-09T15:10:57.0000000Z
f1t1|entregarvaso| | | |2013-05-09T15:14:23.0000000Z
f1t4|soltarvasofregadero| | | |2013-05-09T15:16:49.0000000Z
f1t5|bloquearfregadero| | | |2013-05-09T15:16:53.0000000Z
f1t6|llenarvasoconagua| | | |2013-05-09T15:16:54.0000000Z
f1t7|desbloquearfregadero| | | |2013-05-09T15:17:11.0000000Z
f1t8|soltarvasoagitador| | | |2013-05-09T15:17:27.0000000Z
f1t9|bloquearagitador| | | |2013-05-09T15:17:31.0000000Z
f1t10|bloquearphmetro| | | |2013-05-09T15:17:31.0000000Z
f1t11|encenderagitador| | | |2013-05-09T15:17:43.0000000Z
f1t12|agregarmys| | | |2013-05-09T15:19:09.0000000Z
f1t13|agregarsacarosa| | | |2013-05-09T15:19:15.0000000Z
f1t20|apagaragitador| | f1t14-f1t16| |2013-05-09T15:19:39.0000000Z
f1t21|entregarbotella| | | |2013-05-09T15:20:17.0000000Z
f1t22|soltarbotellaagitador| | | |2013-05-09T15:21:01.0000000Z
f1t23|movermezclaabotella| | | |2013-05-09T15:21:13.0000000Z
f1t24|desbloquearagitador| | | |2013-05-09T15:21:22.0000000Z
f1t15|desbloquearphmetro| | | |2013-05-09T15:21:22.0000000Z
f1t25|insetarbotellaenautoclave| | | |2013-05-09T15:29:32.0000000Z
f1t26|bloquearautoclave| | | |2013-05-09T15:29:35.0000000Z
f1t30|encendercabina| | | |2013-05-09T15:30:31.0000000Z
f1t31|contartiempocabina| | | |2013-05-09T15:30:32.0000000Z
f1t27|autoclavar| | | |2013-05-09T15:32:08.0000000Z
f1t28|entregarbotellaautoclavada| | | |2013-05-09T15:32:36.0000000Z
f1t29|enfriarbotella| | | |2013-05-09T15:32:41.0000000Z
f1t32|soltarbotellacabina| | | |2013-05-09T15:37:06.0000000Z
f1t33|agregariaa| | | |2013-05-09T15:40:27.0000000Z
f1t34|entregarbandeja| | | |2013-05-09T15:41:35.0000000Z
f1t35|soltarbandeja| | | |2013-05-09T15:42:13.0000000Z
f1t36|llenarbotes| | | |2013-05-09T15:42:28.0000000Z
f1t37|esterilizar| | | |2013-05-09T15:43:00.0000000Z
f1t38|entregarchopo| | | |2013-05-09T15:44:26.0000000Z
f1t39|soltarchopocabina| | | |2013-05-09T15:45:26.0000000Z
f1t40|cortarplanta| | | |2013-05-09T15:45:42.0000000Z
f1t41|adjuntarbandeja| | | |2013-05-09T15:45:50.0000000Z
f1t42|apagarcabina| | | |2013-05-09T15:45:58.0000000Z
f1t44|bloquearbasefitotron| | | |2013-05-09T15:46:42.0000000Z
f1t43|soltarbandcrecimiento| | | |2013-05-09T15:46:45.0000000Z
f1t45|crecerchopo| | | |2013-05-09T15:47:05.0000000Z
f1t46|fincrecimiento| | | |2013-05-09T15:48:18.0000000Z
f2t1|encenderpcr| | | |2013-05-09T15:49:04.0000000Z
f2t4|calentartermobloque| | | |2013-05-09T15:49:09.0000000Z
f2t3|releerprotocolo| | | |2013-05-09T15:49:23.0000000Z
f2t5|entregarbandejahielo| | | |2013-05-09T15:50:41.0000000Z
f2t55|abrirpcr| | | |2013-05-09T15:51:07.0000000Z
f2t26|soltarbandejapoyata| | | |2013-05-09T15:51:48.0000000Z
f2t25|soltarbandejapoyataprimeravez| | | |2013-05-09T15:51:51.0000000Z
f2t27|entregarboteeppendorf| | | |2013-05-09T15:52:47.0000000Z
f2t28|soltarboteeppendorf| | | |2013-05-09T15:53:26.0000000Z
f2t29|sacartuboeppendorf| | | |2013-05-09T15:53:41.0000000Z
f2t30|entregarpipetaamarilla| | | |2013-05-09T15:53:57.0000000Z
f2t32|cargarpuntaamarilla| | | |2013-05-09T15:54:40.0000000Z
f2t33|iniciarmezcla| | | |2013-05-09T15:54:58.0000000Z
f2t52|finmezcla| |f2t34-f2t35-f2t36-f2t37-f2t38-f2t39-f2t40-f2t41| |2013-05-09T15:55:18.0000000Z
f2t53|soltarpipetaamarilla| | | |2013-05-09T15:55:34.0000000Z
f2t54|entregartubomezcla| | | |2013-05-09T15:55:47.0000000Z
f2t56|soltarmezcla| | | |2013-05-09T15:57:33.0000000Z
f2t57|cerrarpcr| | | |2013-05-09T15:57:36.0000000Z
f2t58|amplificarfragmento| | | |2013-05-09T15:57:42.0000000Z
f2t59|entregarmezclapcr| | | |2013-05-09T15:58:26.0000000Z
f2t60|guardarpcr| | | |2013-05-09T16:00:39.0000000Z
f2t61|soltartubonevera| | | |2013-05-09T16:01:00.0000000Z
f3t1|encendertermobloque| | | |2013-05-09T16:04:36.0000000Z
f3t4|calentartermobloque| | | |2013-05-09T16:04:39.0000000Z
f3t2|releerfundamentos| | | |2013-05-09T16:05:02.0000000Z
f3t2|releerfundamentos| | | |2013-05-09T16:05:11.0000000Z
f3t2|releerfundamentos| | | |2013-05-09T16:05:19.0000000Z
f3t3|releerprotocolo| | | |2013-05-09T16:05:20.0000000Z
f3t3|releerprotocolo| | | |2013-05-09T16:05:30.0000000Z
f3t2|releerfundamentos| | | |2013-05-09T16:05:31.0000000Z
f3t5|entregarbandejahielo| | | |2013-05-09T16:05:57.0000000Z
f3t26|soltarbandejapoyataprimeravez| | | |2013-05-09T16:07:40.0000000Z
f3t28|sacartuboligacion| | | |2013-05-09T16:07:48.0000000Z
f3t29|entregarpipetaamarilla| | | |2013-05-09T16:08:05.0000000Z
f3t31|cargarpuntaamarilla| | | |2013-05-09T16:08:18.0000000Z
f3t27|soltarbandejapoyata| | | |2013-05-09T16:09:16.0000000Z
f3t32|iniciarmezcla| | | |2013-05-09T16:09:33.0000000Z
f3t52|finmezcla| |f3t33-f3t34-f3t35-f3t36-f3t37| |2013-05-09T16:10:02.0000000Z
f3t53|soltarpipetaamarilla| | | |2013-05-09T16:10:17.0000000Z
f3t54|entregartubomezcla| | | |2013-05-09T16:10:27.0000000Z
f3t55|abrirtermobloque| | | |2013-05-09T16:11:00.0000000Z
f3t56|soltarmezcla| | | |2013-05-09T16:11:08.0000000Z
f3t57|cerrartermobloque| | | |2013-05-09T16:11:10.0000000Z

f3t58|amplificarfragmento| | | |2013-05-09T16:11:24.0000000Z
f3t59|entregarmezclaligacion| | | |2013-05-09T16:11:30.0000000Z
f3t60|guardarligacion| | | |2013-05-09T16:12:47.0000000Z
f3t61|soltartubonevera| | | |2013-05-09T16:12:59.0000000Z
